dateff,rf
19500131,0.00090
19500228,0.00090
19500331,0.00100
19500429,0.00090
19500531,0.00100
19500630,0.00100
19500731,0.00100
19500831,0.00100
19500929,0.00100
19501031,0.00120
19501130,0.00110
19501230,0.00110
19510131,0.00130
19510228,0.00100
19510331,0.00110
19510430,0.00130
19510531,0.00120
19510629,0.00120
19510731,0.00130
19510831,0.00130
19510928,0.00120
19511031,0.00160
19511130,0.00110
19511231,0.00120
19520131,0.00150
19520229,0.00120
19520331,0.00110
19520430,0.00120
19520529,0.00130
19520630,0.00150
19520731,0.00150
19520829,0.00150
19520930,0.00160
19521031,0.00140
19521128,0.00100
19521231,0.00160
19530130,0.00160
19530227,0.00140
19530331,0.00180
19530430,0.00160
19530529,0.00170
19530630,0.00180
19530731,0.00150
19530831,0.00170
19530930,0.00160
19531030,0.00130
19531130,0.00080
19531231,0.00130
19540129,0.00110
19540226,0.00070
19540331,0.00080
19540430,0.00090
19540528,0.00050
19540630,0.00060
19540730,0.00050
19540831,0.00050
19540930,0.00090
19541029,0.00070
19541130,0.00060
19541231,0.00080
19550131,0.00080
19550228,0.00090
19550331,0.00100
19550429,0.00100
19550531,0.00140
19550630,0.00100
19550729,0.00100
19550831,0.00160
19550930,0.00160
19551031,0.00180
19551130,0.00170
19551230,0.00180
19560131,0.00220
19560229,0.00190
19560329,0.00150
19560430,0.00190
19560531,0.00230
19560629,0.00200
19560731,0.00220
19560831,0.00170
19560928,0.00180
19561031,0.00250
19561130,0.00200
19561231,0.00240
19570131,0.00270
19570228,0.00240
19570329,0.00230
19570430,0.00250
19570531,0.00260
19570628,0.00240
19570731,0.00300
19570830,0.00250
19570930,0.00260
19571031,0.00290
19571129,0.00280
19571231,0.00240
19580131,0.00280
19580228,0.00120
19580331,0.00090
19580430,0.00080
19580529,0.00110
19580630,0.00030
19580731,0.00070
19580829,0.00040
19580930,0.00190
19581031,0.00180
19581128,0.00110
19581231,0.00220
19590130,0.00210
19590227,0.00190
19590331,0.00220
19590430,0.00200
19590529,0.00220
19590630,0.00250
19590731,0.00250
19590831,0.00190
19590930,0.00310
19591030,0.00300
19591130,0.00260
19591231,0.00340
19600129,0.00330
19600229,0.00290
19600331,0.00350
19600429,0.00190
19600531,0.00270
19600630,0.00240
19600729,0.00130
19600831,0.00170
19600930,0.00160
19601031,0.00220
19601130,0.00130
19601230,0.00160
19610131,0.00190
19610228,0.00140
19610330,0.00200
19610428,0.00170
19610531,0.00180
19610630,0.00200
19610731,0.00180
19610831,0.00140
19610929,0.00170
19611031,0.00190
19611130,0.00150
19611229,0.00190
19620131,0.00240
19620228,0.00200
19620330,0.00200
19620430,0.00220
19620531,0.00240
19620629,0.00200
19620731,0.00270
19620831,0.00230
19620928,0.00210
19621031,0.00250
19621130,0.00200
19621231,0.00230
19630131,0.00250
19630228,0.00230
19630329,0.00230
19630430,0.00250
19630531,0.00240
19630628,0.00230
19630731,0.00270
19630830,0.00250
19630930,0.00270
19631031,0.00290
19631129,0.00270
19631231,0.00290
19640131,0.00300
19640228,0.00260
19640331,0.00310
19640430,0.00290
19640528,0.00260
19640630,0.00300
19640731,0.00300
19640831,0.00280
19640930,0.00280
19641030,0.00290
19641130,0.00290
19641231,0.00310
19650129,0.00280
19650226,0.00300
19650331,0.00360
19650430,0.00310
19650528,0.00310
19650630,0.00350
19650730,0.00310
19650831,0.00330
19650930,0.00310
19651029,0.00310
19651130,0.00350
19651231,0.00330
19660131,0.00380
19660228,0.00350
19660331,0.00380
19660429,0.00340
19660531,0.00410
19660630,0.00380
19660729,0.00350
19660831,0.00410
19660930,0.00400
19661031,0.00450
19661130,0.00400
19661230,0.00400
19670131,0.00430
19670228,0.00360
19670331,0.00390
19670428,0.00320
19670531,0.00330
19670630,0.00270
19670731,0.00310
19670831,0.00310
19670929,0.00320
19671031,0.00390
19671130,0.00360
19671229,0.00330
19680131,0.00400
19680229,0.00390
19680329,0.00380
19680430,0.00430
19680531,0.00450
19680628,0.00430
19680730,0.00480
19680830,0.00420
19680930,0.00430
19681031,0.00440
19681129,0.00420
19681231,0.00430
19690131,0.00530
19690228,0.00460
19690328,0.00460
19690430,0.00530
19690529,0.00480
19690630,0.00510
19690731,0.00530
19690829,0.00500
19690930,0.00620
19691031,0.00600
19691128,0.00520
19691231,0.00640
19700130,0.00600
19700227,0.00620
19700331,0.00570
19700430,0.00500
19700529,0.00530
19700630,0.00580
19700731,0.00520
19700831,0.00530
19700930,0.00540
19701030,0.00460
19701130,0.00460
19701231,0.00420
19710129,0.00380
19710226,0.00330
19710331,0.00300
19710430,0.00280
19710528,0.00290
19710630,0.00370
19710730,0.00400
19710831,0.00470
19710930,0.00370
19711029,0.00370
19711130,0.00370
19711231,0.00370
19720131,0.00290
19720229,0.00250
19720330,0.00270
19720428,0.00290
19720531,0.00300
19720630,0.00290
19720731,0.00310
19720831,0.00290
19720929,0.00340
19721031,0.00400
19721130,0.00370
19721229,0.00370
19730131,0.00440
19730228,0.00410
19730330,0.00460
19730430,0.00520
19730531,0.00510
19730629,0.00510
19730731,0.00640
19730831,0.00700
19730928,0.00680
19731031,0.00650
19731130,0.00560
19731231,0.00640
19740131,0.00630
19740228,0.00580
19740329,0.00560
19740430,0.00750
19740531,0.00750
19740628,0.00600
19740731,0.00700
19740830,0.00600
19740930,0.00810
19741031,0.00510
19741129,0.00540
19741231,0.00700
19750131,0.00580
19750228,0.00430
19750331,0.00410
19750430,0.00440
19750530,0.00440
19750630,0.00410
19750731,0.00480
19750829,0.00480
19750930,0.00530
19751031,0.00560
19751128,0.00410
19751231,0.00480
19760130,0.00470
19760227,0.00340
19760331,0.00400
19760430,0.00420
19760528,0.00370
19760630,0.00430
19760730,0.00470
19760831,0.00420
19760930,0.00440
19761029,0.00410
19761130,0.00400
19761231,0.00400
19770131,0.00360
19770228,0.00350
19770331,0.00380
19770429,0.00380
19770531,0.00370
19770630,0.00400
19770729,0.00420
19770831,0.00440
19770930,0.00430
19771031,0.00490
19771130,0.00500
19771230,0.00490
19780131,0.00490
19780228,0.00460
19780331,0.00530
19780428,0.00540
19780531,0.00510
19780630,0.00540
19780731,0.00560
19780831,0.00560
19780929,0.00620
19781031,0.00680
19781130,0.00700
19781229,0.00780
19790131,0.00770
19790228,0.00730
19790330,0.00810
19790430,0.00800
19790531,0.00820
19790629,0.00810
19790731,0.00770
19790831,0.00770
19790928,0.00830
19791031,0.00870
19791130,0.00990
19791231,0.00950
19800131,0.00800
19800229,0.00890
19800331,0.01210
19800430,0.01260
19800530,0.00810
19800630,0.00610
19800731,0.00530
19800829,0.00640
19800930,0.00750
19801031,0.00950
19801128,0.00960
19801231,0.01310
19810130,0.01040
19810227,0.01070
19810331,0.01210
19810430,0.01080
19810529,0.01150
19810630,0.01350
19810731,0.01240
19810831,0.01280
19810930,0.01240
19811030,0.01210
19811130,0.01070
19811231,0.00870
19820129,0.00800
19820226,0.00920
19820331,0.00980
19820430,0.01130
19820528,0.01060
19820630,0.00960
19820730,0.01050
19820831,0.00760
19820930,0.00510
19821029,0.00590
19821130,0.00630
19821231,0.00670
19830131,0.00690
19830228,0.00620
19830331,0.00630
19830429,0.00710
19830531,0.00690
19830630,0.00670
19830729,0.00740
19830831,0.00760
19830930,0.00760
19831031,0.00760
19831130,0.00700
19831230,0.00730
19840131,0.00760
19840229,0.00710
19840330,0.00730
19840430,0.00810
19840531,0.00780
19840629,0.00750
19840731,0.00820
19840831,0.00830
19840928,0.00860
19841031,0.01000
19841130,0.00730
19841231,0.00640
19850131,0.00650
19850228,0.00580
19850329,0.00620
19850430,0.00720
19850531,0.00660
19850628,0.00550
19850731,0.00620
19850830,0.00550
19850930,0.00600
19851031,0.00650
19851129,0.00610
19851231,0.00650
19860131,0.00560
19860228,0.00530
19860331,0.00600
19860430,0.00520
19860530,0.00490
19860630,0.00520
19860731,0.00520
19860829,0.00460
19860930,0.00450
19861031,0.00460
19861128,0.00390
19861231,0.00490
19870130,0.00420
19870227,0.00430
19870331,0.00470
19870430,0.00440
19870529,0.00380
19870630,0.00480
19870731,0.00460
19870831,0.00470
19870930,0.00450
19871030,0.00600
19871130,0.00350
19871231,0.00390
19880129,0.00290
19880229,0.00460
19880331,0.00440
19880429,0.00460
19880531,0.00510
19880630,0.00490
19880729,0.00510
19880831,0.00590
19880930,0.00620
19881031,0.00610
19881130,0.00570
19881230,0.00630
19890131,0.00550
19890228,0.00610
19890331,0.00670
19890428,0.00670
19890531,0.00790
19890630,0.00710
19890731,0.00700
19890831,0.00740
19890929,0.00650
19891031,0.00680
19891130,0.00690
19891229,0.00610
19900131,0.00570
19900228,0.00570
19900330,0.00640
19900430,0.00690
19900531,0.00680
19900629,0.00630
19900731,0.00680
19900831,0.00660
19900928,0.00600
19901031,0.00680
19901130,0.00570
19901231,0.00600
19910131,0.00520
19910228,0.00480
19910328,0.00440
19910430,0.00530
19910531,0.00470
19910628,0.00420
19910731,0.00490
19910830,0.00460
19910930,0.00460
19911031,0.00420
19911129,0.00390
19911231,0.00380
19920131,0.00340
19920228,0.00280
19920331,0.00340
19920430,0.00320
19920529,0.00280
19920630,0.00320
19920731,0.00310
19920831,0.00260
19920930,0.00260
19921030,0.00230
19921130,0.00230
19921231,0.00280
19930129,0.00230
19930226,0.00220
19930331,0.00250
19930430,0.00240
19930528,0.00220
19930630,0.00250
19930730,0.00240
19930831,0.00250
19930930,0.00260
19931029,0.00220
19931130,0.00250
19931231,0.00230
19940131,0.00250
19940228,0.00210
19940331,0.00270
19940429,0.00270
19940531,0.00310
19940630,0.00310
19940729,0.00280
19940831,0.00370
19940930,0.00370
19941031,0.00380
19941130,0.00370
19941230,0.00440
19950131,0.00420
19950228,0.00400
19950331,0.00460
19950428,0.00440
19950531,0.00540
19950630,0.00470
19950731,0.00450
19950831,0.00470
19950929,0.00430
19951031,0.00470
19951130,0.00420
19951229,0.00490
19960131,0.00430
19960229,0.00390
19960329,0.00390
19960430,0.00460
19960531,0.00420
19960628,0.00400
19960731,0.00450
19960830,0.00410
19960930,0.00440
19961031,0.00420
19961129,0.00410
19961231,0.00460
19970131,0.00450
19970228,0.00390
19970331,0.00430
19970430,0.00430
19970530,0.00490
19970630,0.00370
19970731,0.00430
19970829,0.00410
19970930,0.00440
19971031,0.00420
19971128,0.00390
19971231,0.00480
19980130,0.00430
19980227,0.00390
19980331,0.00390
19980430,0.00430
19980529,0.00400
19980630,0.00410
19980731,0.00400
19980831,0.00430
19980930,0.00460
19981030,0.00320
19981130,0.00310
19981231,0.00380
19990129,0.00350
19990226,0.00350
19990331,0.00430
19990430,0.00370
19990528,0.00340
19990630,0.00400
19990730,0.00380
19990831,0.00390
19990930,0.00390
19991029,0.00390
19991130,0.00360
19991231,0.00440
20000131,0.00410
20000229,0.00430
20000331,0.00470
20000428,0.00460
20000531,0.00500
20000630,0.00400
20000731,0.00480
20000831,0.00500
20000929,0.00510
20001031,0.00560
20001130,0.00510
20001229,0.00500
20010131,0.00540
20010228,0.00380
20010330,0.00420
20010430,0.00390
20010531,0.00320
20010629,0.00280
20010731,0.00300
20010831,0.00310
20010928,0.00280
20011031,0.00220
20011130,0.00170
20011231,0.00150
20020131,0.00140
20020228,0.00130
20020328,0.00130
20020430,0.00150
20020531,0.00140
20020628,0.00130
20020731,0.00150
20020830,0.00140
20020930,0.00140
20021031,0.00140
20021129,0.00120
20021231,0.00110
20030131,0.00100
20030228,0.00090
20030331,0.00100
20030430,0.00100
20030530,0.00090
20030630,0.00100
20030731,0.00070
20030829,0.00070
20030930,0.00080
20031031,0.00070
20031128,0.00070
20031231,0.00080
20040130,0.00070
20040227,0.00060
20040331,0.00090
20040430,0.00080
20040528,0.00060
20040630,0.00080
20040730,0.00100
20040831,0.00110
20040930,0.00110
20041029,0.00110
20041130,0.00150
20041231,0.00160
20050131,0.00160
20050228,0.00160
20050331,0.00210
20050429,0.00210
20050531,0.00240
20050630,0.00230
20050729,0.00240
20050831,0.00300
20050930,0.00290
20051031,0.00270
20051130,0.00310
20051230,0.00320
20060131,0.00350
20060228,0.00340
20060331,0.00370
20060428,0.00360
20060531,0.00430
20060630,0.00400
20060731,0.00400
20060831,0.00420
20060929,0.00410
20061031,0.00410
20061130,0.00420
20061229,0.00400
20070131,0.00440
20070228,0.00380
20070330,0.00430
20070430,0.00440
20070531,0.00410
20070629,0.00400
20070731,0.00400
20070831,0.00420
20070928,0.00320
20071031,0.00320
20071130,0.00340
20071231,0.00270
20080131,0.00210
20080229,0.00130
20080331,0.00170
20080430,0.00180
20080530,0.00180
20080630,0.00170
20080731,0.00150
20080829,0.00130
20080930,0.00150
20081031,0.00080
20081128,0.00030
20081231,0.00000
20090130,0.00000
20090227,0.00010
20090331,0.00020
20090430,0.00010
20090529,0.00000
20090630,0.00010
20090731,0.00010
20090831,0.00010
20090930,0.00010
20091030,0.00000
20091130,0.00000
20091231,0.00010
20100129,0.00000
20100226,0.00000
20100331,0.00010
20100430,0.00010
20100528,0.00010
20100630,0.00010
20100730,0.00010
20100831,0.00010
20100930,0.00010
20101029,0.00010
20101130,0.00010
20101231,0.00010
20110131,0.00010
20110228,0.00010
20110331,0.00010
20110429,0.00000
20110531,0.00000
20110630,0.00000
20110729,0.00000
20110831,0.00010
20110930,0.00000
20111031,0.00000
20111130,0.00000
20111230,0.00000
20120131,0.00000
20120229,0.00000
20120330,0.00000
20120430,0.00000
20120531,0.00010
20120629,0.00000
20120731,0.00000
20120831,0.00010
20120928,0.00010
20121031,0.00010
20121130,0.00010
20121231,0.00010
20130131,0.00000
20130228,0.00000
20130328,0.00000
20130430,0.00000
20130531,0.00000
20130628,0.00000
20130731,0.00000
20130830,0.00000
20130930,0.00000
20131031,0.00000
20131129,0.00000
20131231,0.00000
20140131,0.00000
20140228,0.00000
20140331,0.00000
20140430,0.00000
20140530,0.00000
20140630,0.00000
20140731,0.00000
20140829,0.00000
20140930,0.00000
20141031,0.00000
20141128,0.00000
20141231,0.00000
20150130,0.00000
20150227,0.00000
20150331,0.00000
20150430,0.00000
20150529,0.00000
20150630,0.00000
20150731,0.00000
20150831,0.00000
20150930,0.00000
20151030,0.00000
20151130,0.00000
20151231,0.00010
20160129,0.00010
20160229,0.00020
20160331,0.00020
20160429,0.00010
20160531,0.00010
20160630,0.00020
20160729,0.00020
20160831,0.00020
20160930,0.00020
20161031,0.00020
20161130,0.00010
20161230,0.00030
